Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B1,LR44,BatteryHolder_Keystone_2998_1x6.8mm,165.4,-99.2,90,bottom
D1,LED,LED_0402_1005Metric,165.4,-103.4,180,top
R1,47,LED_0201_0603Metric,162.3,-100.9,90,top
